model_id,downloads,likes,pipeline_tag,task_name,library_name,frameworks,license,arxiv,param_count,size_category,created_at,last_modified
distilbert/distilgpt2,2886683,634,text-generation,Text Generation,transformers,"pytorch, rust, safetensors, text-generation-inference, transformers",apache-2.0,1910.01108,88204032,<100M,2022-03-02T23:29:04.000Z,2024-02-19T11:09:53.000Z
Qwen/Qwen3-Coder-Next-FP8,2764738,162,text-generation,Text Generation,transformers,"safetensors, transformers",apache-2.0,,79679212800,50B-100B,2026-02-01T12:22:41.000Z,2026-02-03T14:13:28.000Z
nvidia/Gemma-4-31B-IT-NVFP4,2496292,538,text-generation,Text Generation,Model Optimizer,"Model Optimizer, safetensors",other,,20868591152,20B-50B,2026-04-02T16:47:30.000Z,2026-07-13T22:33:54.000Z
TinyLlama/TinyLlama-1.1B-Chat-v1.0,2476170,1689,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",apache-2.0,,1100048384,1B-5B,2023-12-30T06:27:30.000Z,2024-03-17T05:07:08.000Z
deepreinforce-ai/Ornith-1.0-9B-GGUF,2472061,545,text-generation,Text Generation,transformers,"gguf, transformers",mit,,,Unknown,2026-06-25T04:56:13.000Z,2026-06-25T14:12:12.000Z
ibm-granite/granite-4.1-8b,2443950,225,text-generation,Text Generation,transformers,"safetensors, transformers",apache-2.0,0000.00000,8791592960,5B-10B,2026-04-06T13:18:47.000Z,2026-05-04T17:36:29.000Z
antirez/deepseek-v4-gguf,2382019,335,text-generation,Text Generation,gguf,gguf,mit,,,Unknown,2026-04-26T07:54:05.000Z,2026-07-16T17:22:43.000Z
EleutherAI/pythia-160m,2377372,44,text-generation,Text Generation,transformers,"pytorch, safetensors, text-generation-inference, transformers",apache-2.0,2304.01373,212654688,100M-1B,2023-02-08T19:25:46.000Z,2023-07-09T15:52:09.000Z
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,2326676,393,text-generation,Text Generation,transformers,"pytorch, safetensors, transformers",other,2512.20848,67228556288,50B-100B,2026-03-10T18:33:04.000Z,2026-05-01T16:54:19.000Z
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,2302721,1081,text-generation,Text Generation,transformers,"safetensors, text-generation-inference, transformers",mit,2501.12948,8190735360,5B-10B,2025-05-29T11:07:47.000Z,2025-05-29T13:13:34.000Z
